id,answers,correct_answer,question,edition,json,test
117,"[""Tug-of-War"",""Live Pigeon Shooting"",""Arm Wrestling"",""Badminton""]",2,Which of these has never been an Olympic sport?,Global,"{""id"":""117"",""question"":""Which of these has never been an Olympic sport?"",""correct_answer"":2,""answers"":[""Tug-of-War"",""Live Pigeon Shooting"",""Arm Wrestling"",""Badminton""],""edition"":""Global""}",
118,"[""Gund"",""Tiger Electronics"",""Mattel"",""Fisher-Price""]",1,What toy company created the original Furby?,Global,"{""id"":""118"",""question"":""What toy company created the original Furby?"",""correct_answer"":1,""answers"":[""Gund"",""Tiger Electronics"",""Mattel"",""Fisher-Price""],""edition"":""Global""}",
119,"[""Priuses"",""Priem"",""Prii"",""Priopodes""]",2,"According to Toyota, what is the official plural form of the car model dquotesPriusdquotes?",Global,"{""id"":""119"",""question"":""According to Toyota, what is the official plural form of the car model dquotesPriusdquotes?"",""correct_answer"":2,""answers"":[""Priuses"",""Priem"",""Prii"",""Priopodes""],""edition"":""Global""}",
120,"[""Eggplant"",""Cucumber"",""Carrot"",""Zucchini""]",0,What vegetable is known in British English by the name dquotesauberginedquotes?,All,"{""id"":""120"",""question"":""What vegetable is known in British English by the name dquotesauberginedquotes?"",""correct_answer"":0,""answers"":[""Eggplant"",""Cucumber"",""Carrot"",""Zucchini""],""edition"":""All""}",
121,"[""Technological Implement"",""Tiny Interconnector"",""Texas Instruments"",""Transducer Involvement""]",2,"What does the dquotesTIdquotes stand for in the name of the ubiquitous graphing calculator, the dquotesTI-83dquotes?",Global,"{""id"":""121"",""question"":""What does the dquotesTIdquotes stand for in the name of the ubiquitous graphing calculator, the dquotesTI-83dquotes?"",""correct_answer"":2,""answers"":[""Technological Implement"",""Tiny Interconnector"",""Texas Instruments"",""Transducer Involvement""],""edition"":""Global""}",
122,"[""Diwali"",""Navratri"",""Holi"",""Rosh Hashanah""]",2,What Hindu holiday is known as the dquotesfestival of colorsdquotes?,Global,"{""id"":""122"",""question"":""What Hindu holiday is known as the dquotesfestival of colorsdquotes?"",""correct_answer"":2,""answers"":[""Diwali"",""Navratri"",""Holi"",""Rosh Hashanah""],""edition"":""Global""}",
123,"[""Hey Jude"",""Revolution 9"",""A Day in the Life"",""Yellow Submarine""]",1,What is the longest song ever released by The Beatles?,Global,"{""id"":""123"",""question"":""What is the longest song ever released by The Beatles?"",""correct_answer"":1,""answers"":[""Hey Jude"",""Revolution 9"",""A Day in the Life"",""Yellow Submarine""],""edition"":""Global""}",
124,"[""Wringling"",""Busking"",""Scraping"",""Dongling""]",1,What word means performing in the street for donations?,Global,"{""id"":""124"",""question"":""What word means performing in the street for donations?"",""correct_answer"":1,""answers"":[""Wringling"",""Busking"",""Scraping"",""Dongling""],""edition"":""Global""}",
125,"[""Red"",""Yellow"",""Blue"",""White""]",1,"In a standard set of pool table balls, what color is the 1 ball?",Global,"{""id"":""125"",""question"":""In a standard set of pool table balls, what color is the 1 ball?"",""correct_answer"":1,""answers"":[""Red"",""Yellow"",""Blue"",""White""],""edition"":""Global""}",
126,"[""Zooplankton"",""Krill"",""Brine Shrimp"",""Algae""]",2,What kind of animal is a dquotessea monkeydquotes?,Global,"{""id"":""126"",""question"":""What kind of animal is a dquotessea monkeydquotes?"",""correct_answer"":2,""answers"":[""Zooplankton"",""Krill"",""Brine Shrimp"",""Algae""],""edition"":""Global""}",
127,"[""Abraham Lincoln"",""Benjamin Harrison"",""Harry Truman"",""Ulysses S. Grant""]",1,Who was the last US President to have a full beard while in office?,All,"{""id"":""127"",""question"":""Who was the last US President to have a full beard while in office?"",""correct_answer"":1,""answers"":[""Abraham Lincoln"",""Benjamin Harrison"",""Harry Truman"",""Ulysses S. Grant""],""edition"":""All""}",
128,"[""Baku, Azerbaijan"",""Amsterdam, Netherlands"",""Bangkok, Thailand"",""Canberra, Australia""]",0,"At 28 meters below sea level, what is the world's lowest national capital?",Global,"{""id"":""128"",""question"":""At 28 meters below sea level, what is the world's lowest national capital?"",""correct_answer"":0,""answers"":[""Baku, Azerbaijan"",""Amsterdam, Netherlands"",""Bangkok, Thailand"",""Canberra, Australia""],""edition"":""Global""}",
129,"[""Dr. Seuss"",""Dr. Phil"",""Dr. Dre"",""Dr. Scholl""]",0,Theodore Geisel is the real name of what dquotesDoctordquotes?,Global,"{""id"":""129"",""question"":""Theodore Geisel is the real name of what dquotesDoctordquotes?"",""correct_answer"":0,""answers"":[""Dr. Seuss"",""Dr. Phil"",""Dr. Dre"",""Dr. Scholl""],""edition"":""Global""}",
130,"[""Kane-El"",""Krypto"",""Red"",""Peter Parker""]",1,What is the name of Superman's Superdog?,Global,"{""id"":""130"",""question"":""What is the name of Superman's Superdog?"",""correct_answer"":1,""answers"":[""Kane-El"",""Krypto"",""Red"",""Peter Parker""],""edition"":""Global""}",
131,"[""United Software Bureau"",""Union of Silicon Braids"",""Universal Serial Bus"",""Unified Silver Bands""]",2,What does the technology acronym USB stand for?,Global,"{""id"":""131"",""question"":""What does the technology acronym USB stand for?"",""correct_answer"":2,""answers"":[""United Software Bureau"",""Union of Silicon Braids"",""Universal Serial Bus"",""Unified Silver Bands""],""edition"":""Global""}",
132,"[""West Virginia"",""Pennsylvania"",""New York"",""Oregon""]",2,In what US state are the Adirondack Mountains?,All,"{""id"":""132"",""question"":""In what US state are the Adirondack Mountains?"",""correct_answer"":2,""answers"":[""West Virginia"",""Pennsylvania"",""New York"",""Oregon""],""edition"":""All""}",
133,"[""John Quincy Adams"",""Franklin Pierce"",""William Howard Taft"",""George Washington""]",2,Who is the only person to hold the positions of US President and Chief Justice of the Supreme Court?,All,"{""id"":""133"",""question"":""Who is the only person to hold the positions of US President and Chief Justice of the Supreme Court?"",""correct_answer"":2,""answers"":[""John Quincy Adams"",""Franklin Pierce"",""William Howard Taft"",""George Washington""],""edition"":""All""}",
134,"[""Bandai Namco"",""Square Enix"",""Capcom"",""Eversoft""]",1,"What video game company is known for its dquotesFinal Fantasydquotes, dquotesDragon Questdquotes, and dquotesKingdom Heartsdquotes franchises?",Global,"{""id"":""134"",""question"":""What video game company is known for its dquotesFinal Fantasydquotes, dquotesDragon Questdquotes, and dquotesKingdom Heartsdquotes franchises?"",""correct_answer"":1,""answers"":[""Bandai Namco"",""Square Enix"",""Capcom"",""Eversoft""],""edition"":""Global""}",
135,"[""Swiss"",""Second"",""Steel"",""Superior""]",1,"What word mixes with dquoteswatchdquotes to form the portmanteau company name, dquotesSwatchdquotes?",Global,"{""id"":""135"",""question"":""What word mixes with dquoteswatchdquotes to form the portmanteau company name, dquotesSwatchdquotes?"",""correct_answer"":1,""answers"":[""Swiss"",""Second"",""Steel"",""Superior""],""edition"":""Global""}",
136,"[""Quick Valise Channel"",""Queen Victoria Commerce"",""Quality Value Convenience"",""Qualified Visual Consumption""]",2,What does the shopping channel initialism dquotesQVCdquotes stand for?,All,"{""id"":""136"",""question"":""What does the shopping channel initialism dquotesQVCdquotes stand for?"",""correct_answer"":2,""answers"":[""Quick Valise Channel"",""Queen Victoria Commerce"",""Quality Value Convenience"",""Qualified Visual Consumption""],""edition"":""All""}",
137,"[""Hello"",""Thank you"",""Stand tall"",""See you later""]",1,What is Styx telling Mr. Roboto when they say dquotesdomo arigatodquotes?,Global,"{""id"":""137"",""question"":""What is Styx telling Mr. Roboto when they say dquotesdomo arigatodquotes?"",""correct_answer"":1,""answers"":[""Hello"",""Thank you"",""Stand tall"",""See you later""],""edition"":""Global""}",
138,"[""Steam"",""Sky"",""Liberty"",""Sun""]",0,Which of the following is not a WNBA team name?,All,"{""id"":""138"",""question"":""Which of the following is not a WNBA team name?"",""correct_answer"":0,""answers"":[""Steam"",""Sky"",""Liberty"",""Sun""],""edition"":""All""}",
139,"[""&"",""#"",""@"",""%""]",1,What many-named symbol is also known as the dquotesoctothorpedquotes?,Global,"{""id"":""139"",""question"":""What many-named symbol is also known as the dquotesoctothorpedquotes?"",""correct_answer"":1,""answers"":[""&"",""#"",""@"",""%""],""edition"":""Global""}",
140,"[""Pennsylvania"",""Maine"",""Maryland"",""Alaska""]",2,In what state is the Blair Witch supposed to be lurking in the 1999 film dquotesThe Blair Witch Projectdquotes?,All,"{""id"":""140"",""question"":""In what state is the Blair Witch supposed to be lurking in the 1999 film dquotesThe Blair Witch Projectdquotes?"",""correct_answer"":2,""answers"":[""Pennsylvania"",""Maine"",""Maryland"",""Alaska""],""edition"":""All""}",
141,"[""Arbor Day"",""Flag Day"",""Earth Day"",""Presidents' Day""]",2,What holiday is celebrated annually on April 22?,All,"{""id"":""141"",""question"":""What holiday is celebrated annually on April 22?"",""correct_answer"":2,""answers"":[""Arbor Day"",""Flag Day"",""Earth Day"",""Presidents' Day""],""edition"":""All""}",
142,"[""12"",""$20 "",""$32 "",""40""]",1,How many baby teeth to humans normally grow?,Global,"{""id"":""142"",""question"":""How many baby teeth to humans normally grow?"",""correct_answer"":1,""answers"":[""12"",""$20 "",""$32 "",""40""],""edition"":""Global""}",
143,"[""2 gallons"",""5 gallons"",""10 gallons"",""25 gallons""]",0,"When Peter Piper picked a peck of pickled peppers, how many pickled peppers did Peter Piper pick?",Global,"{""id"":""143"",""question"":""When Peter Piper picked a peck of pickled peppers, how many pickled peppers did Peter Piper pick?"",""correct_answer"":0,""answers"":[""2 gallons"",""5 gallons"",""10 gallons"",""25 gallons""],""edition"":""Global""}",
144,"[""7"",""17"",""31"",""22""]",1,How many total syllables are in a haiku?,Global,"{""id"":""144"",""question"":""How many total syllables are in a haiku?"",""correct_answer"":1,""answers"":[""7"",""17"",""31"",""22""],""edition"":""Global""}",
145,"[""%"","""",""="",""/""]",1,What mathematical symbol is more formally known as an obelus?,Global,"{""id"":""145"",""question"":""What mathematical symbol is more formally known as an obelus?"",""correct_answer"":1,""answers"":[""%"","""",""="",""/""],""edition"":""Global""}",
146,"[""Sirius"",""Polaris"",""Vega"",""Betelgeuse""]",0,What is the brightest star in our night sky?,Global,"{""id"":""146"",""question"":""What is the brightest star in our night sky?"",""correct_answer"":0,""answers"":[""Sirius"",""Polaris"",""Vega"",""Betelgeuse""],""edition"":""Global""}",
147,"[""$1 "",""$20 "",""$100 "",""$5 ""]",1,What is the most commonly counterfeited bill in the United States?,All,"{""id"":""147"",""question"":""What is the most commonly counterfeited bill in the United States?"",""correct_answer"":1,""answers"":[""$1 "",""$20 "",""$100 "",""$5 ""],""edition"":""All""}",
148,"[""Sunflower"",""Rose"",""Lily"",""Dandelion""]",1,What is the official national flower of the United States?,Global,"{""id"":""148"",""question"":""What is the official national flower of the United States?"",""correct_answer"":1,""answers"":[""Sunflower"",""Rose"",""Lily"",""Dandelion""],""edition"":""Global""}",
149,"[""Hitman"",""Accountant"",""Surfer"",""Dancer""]",0,"What is Lon's profession in the 1994 movie, dquotesLon: The Professionaldquotes?",Global,"{""id"":""149"",""question"":""What is Lon's profession in the 1994 movie, dquotesLon: The Professionaldquotes?"",""correct_answer"":0,""answers"":[""Hitman"",""Accountant"",""Surfer"",""Dancer""],""edition"":""Global""}",
150,"[""Connecticut"",""Delaware"",""Hawaii"",""Vermont""]",1,"After Rhode Island, what is the second-smallest state in the US?",All,"{""id"":""150"",""question"":""After Rhode Island, what is the second-smallest state in the US?"",""correct_answer"":1,""answers"":[""Connecticut"",""Delaware"",""Hawaii"",""Vermont""],""edition"":""All""}",
151,"[""United States"",""China"",""Turkey"",""Brazil""]",1,What country produces the world's most apples?,Global,"{""id"":""151"",""question"":""What country produces the world's most apples?"",""correct_answer"":1,""answers"":[""United States"",""China"",""Turkey"",""Brazil""],""edition"":""Global""}",
152,"[""Main deck"",""Orlop Deck"",""Poop Deck"",""Steerage""]",2,Which of these decks is highest on a ship?,Global,"{""id"":""152"",""question"":""Which of these decks is highest on a ship?"",""correct_answer"":2,""answers"":[""Main deck"",""Orlop Deck"",""Poop Deck"",""Steerage""],""edition"":""Global""}",
153,"[""Cary Grant"",""John Wayne"",""Humphrey Bogart"",""Rock Hudson""]",1,What film star was born with the name dquotesMarion Robert Morrisondquotes?,Global,"{""id"":""153"",""question"":""What film star was born with the name dquotesMarion Robert Morrisondquotes?"",""correct_answer"":1,""answers"":[""Cary Grant"",""John Wayne"",""Humphrey Bogart"",""Rock Hudson""],""edition"":""Global""}",
154,"[""Port"",""Starboard"",""Aft"",""Stern""]",1,What is the nautical term for the right-hand side of a ship?,Global,"{""id"":""154"",""question"":""What is the nautical term for the right-hand side of a ship?"",""correct_answer"":1,""answers"":[""Port"",""Starboard"",""Aft"",""Stern""],""edition"":""Global""}",
155,"[""New Zealand"",""Denmark"",""Argentina"",""France""]",1,What country controls the island of Zealand?,Global,"{""id"":""155"",""question"":""What country controls the island of Zealand?"",""correct_answer"":1,""answers"":[""New Zealand"",""Denmark"",""Argentina"",""France""],""edition"":""Global""}",
156,"[""12.5 cents"",""50 cents"",""5 dollars"",""10 cents""]",0,"As in the song phrase dquotesshave and a haircut, two bitsdquotes, how much is a bit worth?",All,"{""id"":""156"",""question"":""As in the song phrase dquotesshave and a haircut, two bitsdquotes, how much is a bit worth?"",""correct_answer"":0,""answers"":[""12.5 cents"",""50 cents"",""5 dollars"",""10 cents""],""edition"":""All""}",
157,"[""6 minutes, 21 seconds"",""14 minutes, 11 seconds"",""24 minutes, 37 seconds"",""3 minutes, 4 seconds""]",2,"According to Guinness World Records, what is the longest recorded time a person has ever held their breath?",All,"{""id"":""157"",""question"":""According to Guinness World Records, what is the longest recorded time a person has ever held their breath?"",""correct_answer"":2,""answers"":[""6 minutes, 21 seconds"",""14 minutes, 11 seconds"",""24 minutes, 37 seconds"",""3 minutes, 4 seconds""],""edition"":""All""}",
158,"[""Platinum"",""Rhodium"",""Gold"",""Nickel""]",1,What is the most valuable precious metal in the world?,All,"{""id"":""158"",""question"":""What is the most valuable precious metal in the world?"",""correct_answer"":1,""answers"":[""Platinum"",""Rhodium"",""Gold"",""Nickel""],""edition"":""All""}",
159,"[""Triceratops"",""T-Rex"",""Velociraptor"",""Brontosaurus""]",1,What kind of dinosaur is Barney?,All,"{""id"":""159"",""question"":""What kind of dinosaur is Barney?"",""correct_answer"":1,""answers"":[""Triceratops"",""T-Rex"",""Velociraptor"",""Brontosaurus""],""edition"":""All""}",
160,"[""Ampere"",""Volt"",""Coulomb"",""Ohm""]",0,What unit measures electric current?,All,"{""id"":""160"",""question"":""What unit measures electric current?"",""correct_answer"":0,""answers"":[""Ampere"",""Volt"",""Coulomb"",""Ohm""],""edition"":""All""}",
161,"[""Zorro"",""Don Quixote"",""Thor"",""Shrek""]",0,Which of these heroes' names translates to dquotesfoxdquotes?,All,"{""id"":""161"",""question"":""Which of these heroes' names translates to dquotesfoxdquotes?"",""correct_answer"":0,""answers"":[""Zorro"",""Don Quixote"",""Thor"",""Shrek""],""edition"":""All""}",
162,"[""think.com"",""symbolics.com"",""xerox.com"",""microsoft.com""]",1,What was the first ever internet domain name?,All,"{""id"":""162"",""question"":""What was the first ever internet domain name?"",""correct_answer"":1,""answers"":[""think.com"",""symbolics.com"",""xerox.com"",""microsoft.com""],""edition"":""All""}",
163,"[""Rose"",""Virginia"",""Claudia"",""Michelle""]",2,"What was the real first name of the former US First Lady, dquotesLady Birddquotes Johnson?",All,"{""id"":""163"",""question"":""What was the real first name of the former US First Lady, dquotesLady Birddquotes Johnson?"",""correct_answer"":2,""answers"":[""Rose"",""Virginia"",""Claudia"",""Michelle""],""edition"":""All""}",
164,"[""Munch's Make Believe Band"",""The ShowBiz Cheesers"",""Chuck and the Cheeseheads"",""Pizza Rock City""]",0,What is the name of the Chuck E. Cheese's animatronic band?,All,"{""id"":""164"",""question"":""What is the name of the Chuck E. Cheese's animatronic band?"",""correct_answer"":0,""answers"":[""Munch's Make Believe Band"",""The ShowBiz Cheesers"",""Chuck and the Cheeseheads"",""Pizza Rock City""],""edition"":""All""}",
165,"[""Barack Obama"",""Woodrow Wilson"",""Gerald Ford"",""George Washington""]",1,Who was the only US President to earn a Ph.D?,All,"{""id"":""165"",""question"":""Who was the only US President to earn a Ph.D?"",""correct_answer"":1,""answers"":[""Barack Obama"",""Woodrow Wilson"",""Gerald Ford"",""George Washington""],""edition"":""All""}",
166,"[""Daniel"",""Henry"",""Harrison"",""Alexander""]",1,What is the real first name of the film character dquotesIndiana Jonesdquotes?,All,"{""id"":""166"",""question"":""What is the real first name of the film character dquotesIndiana Jonesdquotes?"",""correct_answer"":1,""answers"":[""Daniel"",""Henry"",""Harrison"",""Alexander""],""edition"":""All""}",
167,"[""Lindsay Lohan"",""Carmen Electra"",""Paris Hilton"",""Kim Kardashian""]",2,What celebrity trademarked the phrase dquotesThat's hotdquotes in 2007?,All,"{""id"":""167"",""question"":""What celebrity trademarked the phrase dquotesThat's hotdquotes in 2007?"",""correct_answer"":2,""answers"":[""Lindsay Lohan"",""Carmen Electra"",""Paris Hilton"",""Kim Kardashian""],""edition"":""All""}",
168,"[""Lightning"",""Feet"",""Pain"",""Sound""]",1,What does a Brannock Device measure?,All,"{""id"":""168"",""question"":""What does a Brannock Device measure?"",""correct_answer"":1,""answers"":[""Lightning"",""Feet"",""Pain"",""Sound""],""edition"":""All""}",
169,"[""John F. Kennedy"",""Thomas Jefferson"",""Susan B. Anthony"",""Harriet Tubman""]",0,Who is on the obverse side of a standard 2022 US half dollar coin?,All,"{""id"":""169"",""question"":""Who is on the obverse side of a standard 2022 US half dollar coin?"",""correct_answer"":0,""answers"":[""John F. Kennedy"",""Thomas Jefferson"",""Susan B. Anthony"",""Harriet Tubman""],""edition"":""All""}",
170,"[""Saint"",""Twas"",""On"",""From""]",1,"What is the first word of Clement Clarke Moore's poem, dquotesA Visit from St. Nicholasdquotes?",All,"{""id"":""170"",""question"":""What is the first word of Clement Clarke Moore's poem, dquotesA Visit from St. Nicholasdquotes?"",""correct_answer"":1,""answers"":[""Saint"",""Twas"",""On"",""From""],""edition"":""All""}",
171,"[""Baltimore"",""Detroit"",""Chicago"",""Miami""]",1,In what city was the fictional RoboCop deployed to fight crime?,All,"{""id"":""171"",""question"":""In what city was the fictional RoboCop deployed to fight crime?"",""correct_answer"":1,""answers"":[""Baltimore"",""Detroit"",""Chicago"",""Miami""],""edition"":""All""}",
172,"[""Lemur"",""Koala"",""Lynx"",""Kangaroo""]",0,What kind of animal is the PBS television star Zoboomafoo?,All,"{""id"":""172"",""question"":""What kind of animal is the PBS television star Zoboomafoo?"",""correct_answer"":0,""answers"":[""Lemur"",""Koala"",""Lynx"",""Kangaroo""],""edition"":""All""}",
173,"[""Surcharge"",""Underneath"",""Dreamt"",""Because""]",1,Which of these words is grammatically a preposition?,All,"{""id"":""173"",""question"":""Which of these words is grammatically a preposition?"",""correct_answer"":1,""answers"":[""Surcharge"",""Underneath"",""Dreamt"",""Because""],""edition"":""All""}",
174,"[""Square-circle"",""Wind-water"",""Peace-war"",""Good place""]",1,What does the Chinese interior decorating and metaphysical system dquotesfeng shuidquotes mean in English?,All,"{""id"":""174"",""question"":""What does the Chinese interior decorating and metaphysical system dquotesfeng shuidquotes mean in English?"",""correct_answer"":1,""answers"":[""Square-circle"",""Wind-water"",""Peace-war"",""Good place""],""edition"":""All""}",
175,"[""Eve 6"",""Blink-182"",""Twenty One Pilots"",""Avenged Sevenfold""]",3,Which of these band names has a prime number in it?,All,"{""id"":""175"",""question"":""Which of these band names has a prime number in it?"",""correct_answer"":3,""answers"":[""Eve 6"",""Blink-182"",""Twenty One Pilots"",""Avenged Sevenfold""],""edition"":""All""}",
176,"[""Dory"",""Marlin"",""Clowny"",""Andy""]",1,What is the name of Nemo's dad in the 2003 movie dquotesFinding Nemodquotes?,All,"{""id"":""176"",""question"":""What is the name of Nemo's dad in the 2003 movie dquotesFinding Nemodquotes?"",""correct_answer"":1,""answers"":[""Dory"",""Marlin"",""Clowny"",""Andy""],""edition"":""All""}",
177,"[""Enamel"",""Cartilage"",""Bone"",""Iron""]",2,What is a swordfish's dquotessworddquotes made out of?,All,"{""id"":""177"",""question"":""What is a swordfish's dquotessworddquotes made out of?"",""correct_answer"":2,""answers"":[""Enamel"",""Cartilage"",""Bone"",""Iron""],""edition"":""All""}",
178,"[""100 thousand years"",""1 million years"",""1 billion years"",""1 thousand years""]",2,"In astronomical terminology, how long is an eon?",All,"{""id"":""178"",""question"":""In astronomical terminology, how long is an eon?"",""correct_answer"":2,""answers"":[""100 thousand years"",""1 million years"",""1 billion years"",""1 thousand years""],""edition"":""All""}",
179,"[""Queen Victoria"",""Queen Elizabeth I"",""Queen Elizabeth II"",""Queen Latifah""]",0,For what Queen is the Australian state dquotesQueenslanddquotes named?,All,"{""id"":""179"",""question"":""For what Queen is the Australian state dquotesQueenslanddquotes named?"",""correct_answer"":0,""answers"":[""Queen Victoria"",""Queen Elizabeth I"",""Queen Elizabeth II"",""Queen Latifah""],""edition"":""All""}",
180,"[""YouTube"",""Reddit"",""Twitter"",""Instagram""]",0,Which of these websites was founded first?,All,"{""id"":""180"",""question"":""Which of these websites was founded first?"",""correct_answer"":0,""answers"":[""YouTube"",""Reddit"",""Twitter"",""Instagram""],""edition"":""All""}",